Class/Attributes/References;C.: 0%;M.: 0%;D.: 2%;IC.: 0%;IM.: 2%;ID.: 0%;
ClassDiagram;;;;;;
References;;;;;;
classes;;;;;;
relations;;;;;;
types;;;;;;
constraints;;;;;;
PrimitiveElement;;;;;;
Attributes;;;;;;
name;;;;;;
type;;;;;;
Parameter;;;1c 0f;;;0c 2f
Attributes;;;;;;1
name;;;;;;1
References;;;;;;1
type;;;;;;1
Class;;;;;;
Attributes;;;;;;
name;;;;;;
visibility;;;;;;
scope;;;;;;
abstract;;;;;;
derived;;;;;;
References;;;;;;
features;;;;;;
super;;;;;;
supplier;;;;;;
Attribute;;;;;;
Attributes;;;;;;
name;;;;;;
visibility;;;;;;
scope;;;;;;
max;;;;;;
min;;;;;;
derived;;;;;;
References;;;;;;
type;;;;;;
Constraint;;;;;;
Attributes;;;;;;
id;;;;;;
References;;;;;;
type;;;;;;
expressions;;;;;;
Operation;;;;;1c 1f;
Attributes;;;;;;
name;;;;;;
visibility;;;;;;
scope;;;;;;
References;;;;;1;
type;;;;;;
params;;;;;1;
operators;;;;;;
Operator;;;;;;
Attributes;;;;;;
operator;;;;;;
Dependency;;;;;;
Attributes;;;;;;
name;;;;;;
visibility;;;;;;
scope;;;;;;
nsrc;;;;;;
ntar;;;;;;
derived;;;;;;
References;;;;;;
src;;;;;;
tar;;;;;;
Association;;;;;;
Attributes;;;;;;
name;;;;;;
visibility;;;;;;
scope;;;;;;
nsrc;;;;;;
ntar;;;;;;
derived;;;;;;
References;;;;;;
src;;;;;;
tar;;;;;;
Aggregation;;;;;;
Attributes;;;;;;
name;;;;;;
visibility;;;;;;
scope;;;;;;
nsrc;;;;;;
ntar;;;;;;
derived;;;;;;
References;;;;;;
src;;;;;;
tar;;;;;;
Composition;;;;;;
Attributes;;;;;;
name;;;;;;
visibility;;;;;;
scope;;;;;;
nsrc;;;;;;
ntar;;;;;;
derived;;;;;;
References;;;;;;
src;;;;;;
tar;;;;;;
AssociationClass;;;;;;
Attributes;;;;;;
name;;;;;;
visibility;;;;;;
scope;;;;;;
abstract;;;;;;
derived;;;;;;
References;;;;;;
features;;;;;;
super;;;;;;
supplier;;;;;;
association;;;;;;
RootCS;;;;;;
References;;;;;;
packages;;;;;;
constraints;;;;;;
PackageCS;;;;;;
Attributes;;;;;;
name;;;;;;
References;;;;;;
packages;;;;;;
classes;;;;;;
ClassCS;;;;;;
Attributes;;;;;;
name;;;;;;
References;;;;;;
extends;;;;;;
properties;;;;;;
operations;;;;;;
PropertyCS;;;;;;
Attributes;;;;;;
name;;;;;;
References;;;;;;
typeRef;;;;;;
OperationCS;;;;;;
Attributes;;;;;;
name;;;;;;
References;;;;;;
params;;;;;;
resultRef;;;;;;
body;;;;;;
ParameterCS;;;;;;
Attributes;;;;;;
name;;;;;;
References;;;;;;
typeRef;;;;;;
ConstraintCS;;;;;;
References;;;;;;
typeRef;;;;;;
invariants;;;;;;
InvariantCS;;;;;;
References;;;;;;
exp;;;;;;
ExpCS;;;;;;
LogicExpCS;;;;;;
